go_id	go_name	adjP	num_genes
GO:0046879	hormone secretion	0.0025	20
GO:0009914	hormone transport	0.0025	20
GO:0001889	liver development	0.0025	12
GO:0030072	peptide hormone secretion	0.0025	18
GO:0002790	peptide secretion	0.0025	18
GO:0009891	positive regulation of biosynthetic process	0.0025	66
GO:0031328	positive regulation of cellular biosynthetic process	0.0025	65
GO:0010628	positive regulation of gene expression	0.0025	58
GO:0032844	regulation of homeostatic process	0.0025	23
GO:0010817	regulation of hormone levels	0.0025	28
GO:0043231	intracellular membrane-bounded organelle	0.0047	332
GO:0043227	membrane-bounded organelle	0.0047	332
GO:0043229	intracellular organelle	0.0065	359
GO:0043226	organelle	0.0097	359
GO:0001071	nucleic acid binding transcription factor activity	0.0239	51
GO:0030291	protein serine/threonine kinase inhibitor activity	0.0239	5
GO:0003700	sequence-specific DNA binding transcription factor activity	0.0239	51
GO:0004181	metallocarboxypeptidase activity	0.0335	5
GO:0070491	repressing transcription factor binding	0.0335	6
GO:0005737	cytoplasm	0.037	308
GO:0030176	integral to endoplasmic reticulum membrane	0.037	10
GO:0071556	integral to lumenal side of endoplasmic reticulum membrane	0.037	5
GO:0031301	integral to organelle membrane	0.037	15
GO:0005622	intracellular	0.037	406
GO:0044424	intracellular part	0.037	397
GO:0032393	MHC class I receptor activity	0.0611	4
GO:0016538	cyclin-dependent protein kinase regulator activity	0.0611	4
GO:0005267	potassium channel activity	0.0611	10
GO:0008134	transcription factor binding	0.0611	25
GO:0042803	protein homodimerization activity	0.0621	30
