go_id	go_name	adjP	num_genes
GO:0001501	skeletal system development	1.02e-05	38
GO:0001503	ossification	0.0004	28
GO:0009790	embryo development	0.0016	58
GO:0060070	canonical Wnt receptor signaling pathway	0.0017	20
GO:0016055	Wnt receptor signaling pathway	0.0018	27
GO:0002062	chondrocyte differentiation	0.0018	12
GO:0009952	anterior/posterior pattern specification	0.0024	21
GO:0032330	regulation of chondrocyte differentiation	0.003	8
GO:0009887	organ morphogenesis	0.0031	51
GO:0048598	embryonic morphogenesis	0.0033	36
GO:0005525	GTP binding	0.0214	26
GO:0071837	HMG box domain binding	0.0214	4
GO:0015179	L-amino acid transmembrane transporter activity	0.0214	7
GO:0019001	guanyl nucleotide binding	0.0214	26
GO:0032561	guanyl ribonucleotide binding	0.0214	26
GO:0005344	oxygen transporter activity	0.0214	4
GO:0019904	protein domain specific binding	0.0214	33
GO:0070491	repressing transcription factor binding	0.0214	7
GO:0001047	core promoter binding	0.0245	7
GO:0003823	antigen binding	0.0343	8
GO:0005833	hemoglobin complex	0.1005	4
GO:0044445	cytosolic part	0.134	15
GO:0005730	nucleolus	0.134	72
GO:0031012	extracellular matrix	0.2211	25
GO:0044297	cell body	0.3819	16
GO:0070013	intracellular organelle lumen	0.3819	123
GO:0044446	intracellular organelle part	0.3819	241
GO:0044424	intracellular part	0.3819	422
GO:0031974	membrane-enclosed lumen	0.3819	128
GO:0015630	microtubule cytoskeleton	0.3819	39
