go_id	go_name	adjP	num_genes
GO:0042613	MHC class II protein complex	5.03e-09	10
GO:0042611	MHC protein complex	5.03e-09	14
GO:0071556	integral to lumenal side of endoplasmic reticulum membrane	2.9e-06	10
GO:0032395		1.88e-05	7
GO:0012507	ER to Golgi transport vesicle membrane	4.22e-05	10
GO:0030134	ER to Golgi transport vesicle	9.47e-05	10
GO:0004175	endopeptidase activity	0.0004	34
GO:0032588	trans-Golgi network membrane	0.0005	8
GO:0030669	clathrin-coated endocytic vesicle membrane	0.0006	8
GO:0005765	lysosomal membrane	0.0006	17
GO:0030658	transport vesicle membrane	0.0006	12
GO:0019882	antigen processing and presentation	0.0012	24
GO:0019884	antigen processing and presentation of exogenous antigen	0.0012	21
GO:0002478	antigen processing and presentation of exogenous peptide antigen	0.0012	21
GO:0048002	antigen processing and presentation of peptide antigen	0.0012	22
GO:0002376	immune system process	0.0012	107
GO:0008544	epidermis development	0.0014	38
GO:0042638	exogen	0.0014	21
GO:0022405	hair cycle process	0.0014	26
GO:0001942	hair follicle development	0.0014	26
GO:0022404	molting cycle process	0.0014	26
GO:0005774	vacuolar membrane	0.0015	19
GO:0004252	serine-type endopeptidase activity	0.0021	18
GO:0032393	MHC class I receptor activity	0.003	6
GO:0008009	chemokine activity	0.003	9
GO:0042288	MHC class I protein binding	0.0031	5
GO:0008157	protein phosphatase 1 binding	0.0031	4
GO:0008236	serine-type peptidase activity	0.0031	18
GO:0042379	chemokine receptor binding	0.0045	9
GO:0017171	serine hydrolase activity	0.0045	18
