User file and parameters: User file: textAreaUpload.txt, Organism: hsapiens, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: Top10, Statistics Test: Hypergeometric, MTC: BH, Minimum: 4					
					
The results for each enriched GO category are listed in this table. For each GO category, the first row lists its sub-root					
(biological process, molecular function, or cellular component), category name, and corresponding GO ID. The second row lists					
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the					
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).					
Finally, genes in the category are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,					
Ensembl Gene Stable ID, Gene symbol, and description.					
					
					
biological process	skeletal system development	GO:0001501			
C=387;O=16;E=3.25;R=4.92;rawP=1.51e-07;adjP=8.21e-05					
MEPE	NA	MEPE	matrix extracellular phosphoglycoprotein	56955	ENSG00000152595
					
HOXC8	NA	HOXC8	homeobox C8	3224	ENSG00000037965
					
HOXC9	NA	HOXC9	homeobox C9	3225	ENSG00000180806
					
LRP5	NA	LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337
					
PKDCC	NA	PKDCC	protein kinase domain containing, cytoplasmic homolog (mouse)	91461	ENSG00000162878
					
HOXC6	NA	HOXC6	homeobox C6	3223	ENSG00000197757
					
LTBP3	NA	LTBP3	latent transforming growth factor beta binding protein 3	4054	ENSG00000168056
					
HOXC5	NA	HOXC5	homeobox C5	3222	ENSG00000172789
					
AXIN1	NA	AXIN1	axin 1	8312	ENSG00000103126
					
WNT5B	NA	WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186
					
TNFRSF11B	NA	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b	4982	ENSG00000164761
					
HOXC4	NA	HOXC4	homeobox C4	3221	ENSG00000198353
					
TIPARP	NA	TIPARP	TCDD-inducible poly(ADP-ribose) polymerase	25976	ENSG00000163659
					
FGFRL1	NA	FGFRL1	fibroblast growth factor receptor-like 1	53834	ENSG00000127418
					
IDUA	NA	IDUA	iduronidase, alpha-L-	3425	ENSG00000127415
					
SP1	NA	SP1	Sp1 transcription factor	6667	ENSG00000185591
					
					
