symbol	name	entrez_id	ensemble_id	go_class	go_name	go_id	adjP
HLA-E	major histocompatibility complex, class I, E	3133	ENSG00000204592	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	3117	ENSG00000196735	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	3118	ENSG00000237541	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-B	major histocompatibility complex, class I, B	3106	ENSG00000234745	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DMA	major histocompatibility complex, class II, DM alpha	3108	ENSG00000204257	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DRA	major histocompatibility complex, class II, DR alpha	3122	ENSG00000204287	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DRB1	major histocompatibility complex, class II, DR beta 1	3123	ENSG00000196126	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	3119	ENSG00000179344	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DRB5	major histocompatibility complex, class II, DR beta 5	3127	ENSG00000198502	cellular component	MHC class II protein complex	GO:0042613	5.03e-09
HLA-DMB	major histocompatibility complex, class II, DM beta	3109	ENSG00000242574	cellular component	MHC class II protein complex	GO:0042613	5.03e-09
HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	3120	ENSG00000232629	cellular component	MHC class II protein complex	GO:0042613	5.03e-09
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	3119	ENSG00000179344	cellular component	MHC class II protein complex	GO:0042613	5.03e-09
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	3117	ENSG00000196735	cellular component	MHC class II protein complex	GO:0042613	5.03e-09
HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	3118	ENSG00000237541	cellular component	MHC class II protein complex	GO:0042613	5.03e-09
HLA-DMA	major histocompatibility complex, class II, DM alpha	3108	ENSG00000204257	cellular component	MHC class II protein complex	GO:0042613	5.03e-09
HLA-DOB	major histocompatibility complex, class II, DO beta	3112	ENSG00000241106	cellular component	MHC class II protein complex	GO:0042613	5.03e-09
HLA-DRA	major histocompatibility complex, class II, DR alpha	3122	ENSG00000204287	cellular component	MHC class II protein complex	GO:0042613	5.03e-09
HLA-DRB1	major histocompatibility complex, class II, DR beta 1	3123	ENSG00000196126	cellular component	MHC class II protein complex	GO:0042613	5.03e-09
MICA	MHC class I polypeptide-related sequence A	100507436	ENSG00000204520	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DMB	major histocompatibility complex, class II, DM beta	3109	ENSG00000242574	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-C	major histocompatibility complex, class I, C	3107	ENSG00000204525	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DOB	major histocompatibility complex, class II, DO beta	3112	ENSG00000241106	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DRB5	major histocompatibility complex, class II, DR beta 5	3127	ENSG00000198502	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	3120	ENSG00000232629	cellular component	MHC protein complex	GO:0042611	5.03e-09
HLA-DRB5	major histocompatibility complex, class II, DR beta 5	3127	ENSG00000198502	cellular component	integral to lumenal side of endoplasmic reticulum membrane	GO:0071556	2.9e-06
HLA-C	major histocompatibility complex, class I, C	3107	ENSG00000204525	cellular component	integral to lumenal side of endoplasmic reticulum membrane	GO:0071556	2.9e-06
HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	3120	ENSG00000232629	cellular component	integral to lumenal side of endoplasmic reticulum membrane	GO:0071556	2.9e-06
HLA-E	major histocompatibility complex, class I, E	3133	ENSG00000204592	cellular component	integral to lumenal side of endoplasmic reticulum membrane	GO:0071556	2.9e-06
HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	3118	ENSG00000237541	cellular component	integral to lumenal side of endoplasmic reticulum membrane	GO:0071556	2.9e-06
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	3117	ENSG00000196735	cellular component	integral to lumenal side of endoplasmic reticulum membrane	GO:0071556	2.9e-06
HLA-B	major histocompatibility complex, class I, B	3106	ENSG00000234745	cellular component	integral to lumenal side of endoplasmic reticulum membrane	GO:0071556	2.9e-06
HLA-DRA	major histocompatibility complex, class II, DR alpha	3122	ENSG00000204287	cellular component	integral to lumenal side of endoplasmic reticulum membrane	GO:0071556	2.9e-06
HLA-DRB1	major histocompatibility complex, class II, DR beta 1	3123	ENSG00000196126	cellular component	integral to lumenal side of endoplasmic reticulum membrane	GO:0071556	2.9e-06
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	3119	ENSG00000179344	cellular component	integral to lumenal side of endoplasmic reticulum membrane	GO:0071556	2.9e-06
HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	3118	ENSG00000237541	molecular function		GO:0032395	1.88e-05
HLA-DRA	major histocompatibility complex, class II, DR alpha	3122	ENSG00000204287	molecular function		GO:0032395	1.88e-05
HLA-DOB	major histocompatibility complex, class II, DO beta	3112	ENSG00000241106	molecular function		GO:0032395	1.88e-05
HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	3120	ENSG00000232629	molecular function		GO:0032395	1.88e-05
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	3119	ENSG00000179344	molecular function		GO:0032395	1.88e-05
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	3117	ENSG00000196735	molecular function		GO:0032395	1.88e-05
HLA-DRB1	major histocompatibility complex, class II, DR beta 1	3123	ENSG00000196126	molecular function		GO:0032395	1.88e-05
HLA-DRB5	major histocompatibility complex, class II, DR beta 5	3127	ENSG00000198502	cellular component	ER to Golgi transport vesicle membrane	GO:0012507	4.22e-05
HLA-DRB1	major histocompatibility complex, class II, DR beta 1	3123	ENSG00000196126	cellular component	ER to Golgi transport vesicle membrane	GO:0012507	4.22e-05
HLA-DRA	major histocompatibility complex, class II, DR alpha	3122	ENSG00000204287	cellular component	ER to Golgi transport vesicle membrane	GO:0012507	4.22e-05
HLA-B	major histocompatibility complex, class I, B	3106	ENSG00000234745	cellular component	ER to Golgi transport vesicle membrane	GO:0012507	4.22e-05
HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	3118	ENSG00000237541	cellular component	ER to Golgi transport vesicle membrane	GO:0012507	4.22e-05
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	3117	ENSG00000196735	cellular component	ER to Golgi transport vesicle membrane	GO:0012507	4.22e-05
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	3119	ENSG00000179344	cellular component	ER to Golgi transport vesicle membrane	GO:0012507	4.22e-05
HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	3120	ENSG00000232629	cellular component	ER to Golgi transport vesicle membrane	GO:0012507	4.22e-05
HLA-E	major histocompatibility complex, class I, E	3133	ENSG00000204592	cellular component	ER to Golgi transport vesicle membrane	GO:0012507	4.22e-05
HLA-C	major histocompatibility complex, class I, C	3107	ENSG00000204525	cellular component	ER to Golgi transport vesicle membrane	GO:0012507	4.22e-05
HLA-DRB1	major histocompatibility complex, class II, DR beta 1	3123	ENSG00000196126	cellular component	ER to Golgi transport vesicle	GO:0030134	9.47e-05
HLA-DRA	major histocompatibility complex, class II, DR alpha	3122	ENSG00000204287	cellular component	ER to Golgi transport vesicle	GO:0030134	9.47e-05
HLA-B	major histocompatibility complex, class I, B	3106	ENSG00000234745	cellular component	ER to Golgi transport vesicle	GO:0030134	9.47e-05
HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	3118	ENSG00000237541	cellular component	ER to Golgi transport vesicle	GO:0030134	9.47e-05
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	3117	ENSG00000196735	cellular component	ER to Golgi transport vesicle	GO:0030134	9.47e-05
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	3119	ENSG00000179344	cellular component	ER to Golgi transport vesicle	GO:0030134	9.47e-05
HLA-E	major histocompatibility complex, class I, E	3133	ENSG00000204592	cellular component	ER to Golgi transport vesicle	GO:0030134	9.47e-05
HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	3120	ENSG00000232629	cellular component	ER to Golgi transport vesicle	GO:0030134	9.47e-05
HLA-C	major histocompatibility complex, class I, C	3107	ENSG00000204525	cellular component	ER to Golgi transport vesicle	GO:0030134	9.47e-05
HLA-DRB5	major histocompatibility complex, class II, DR beta 5	3127	ENSG00000198502	cellular component	ER to Golgi transport vesicle	GO:0030134	9.47e-05
KLK10	kallikrein-related peptidase 10	5655	ENSG00000129451	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK12	kallikrein-related peptidase 12	43849	ENSG00000186474	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK8	kallikrein-related peptidase 8	11202	ENSG00000129455	molecular function	endopeptidase activity	GO:0004175	0.0004
MMP20	matrix metallopeptidase 20	9313	ENSG00000137674	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK4	kallikrein-related peptidase 4	9622	ENSG00000167749	molecular function	endopeptidase activity	GO:0004175	0.0004
MMP21	matrix metallopeptidase 21	118856	ENSG00000154485	molecular function	endopeptidase activity	GO:0004175	0.0004
ADAM21	ADAM metallopeptidase domain 21	8747		molecular function	endopeptidase activity	GO:0004175	0.0004
KLK7	kallikrein-related peptidase 7	5650	ENSG00000169035	molecular function	endopeptidase activity	GO:0004175	0.0004
CFB	complement factor B	629	ENSG00000243649	molecular function	endopeptidase activity	GO:0004175	0.0004
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif, 3	9508	ENSG00000156140	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK9	kallikrein-related peptidase 9	284366	ENSG00000213022	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK11	kallikrein-related peptidase 11	11012	ENSG00000167757	molecular function	endopeptidase activity	GO:0004175	0.0004
PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	5698	ENSG00000240065	molecular function	endopeptidase activity	GO:0004175	0.0004
CTSK	cathepsin K	1513	ENSG00000143387	molecular function	endopeptidase activity	GO:0004175	0.0004
MMP27	matrix metallopeptidase 27	64066	ENSG00000137675	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK3	kallikrein-related peptidase 3	354	ENSG00000142515	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK13	kallikrein-related peptidase 13	26085	ENSG00000167759	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK1	kallikrein 1	3816	ENSG00000167748	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK6	kallikrein-related peptidase 6	5653	ENSG00000167755	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK14	kallikrein-related peptidase 14	43847	ENSG00000129437	molecular function	endopeptidase activity	GO:0004175	0.0004
CTSS	cathepsin S	1520	ENSG00000163131	molecular function	endopeptidase activity	GO:0004175	0.0004
APH1A	anterior pharynx defective 1 homolog A (C. elegans)	51107	ENSG00000117362	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK5	kallikrein-related peptidase 5	25818	ENSG00000167754	molecular function	endopeptidase activity	GO:0004175	0.0004
ADAM17	ADAM metallopeptidase domain 17	6868	ENSG00000151694	molecular function	endopeptidase activity	GO:0004175	0.0004
SENP1	SUMO1/sentrin specific peptidase 1	29843	ENSG00000079387	molecular function	endopeptidase activity	GO:0004175	0.0004
C2	complement component 2	717	ENSG00000166278	molecular function	endopeptidase activity	GO:0004175	0.0004
ADAM15	ADAM metallopeptidase domain 15	8751	ENSG00000143537	molecular function	endopeptidase activity	GO:0004175	0.0004
LPA	lipoprotein, Lp(a)	4018	ENSG00000198670	molecular function	endopeptidase activity	GO:0004175	0.0004
ADAM20	ADAM metallopeptidase domain 20	8748	ENSG00000134007	molecular function	endopeptidase activity	GO:0004175	0.0004
MMP7	matrix metallopeptidase 7 (matrilysin, uterine)	4316	ENSG00000137673	molecular function	endopeptidase activity	GO:0004175	0.0004
PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	5696	ENSG00000204264	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK2	kallikrein-related peptidase 2	3817	ENSG00000167751	molecular function	endopeptidase activity	GO:0004175	0.0004
KLK15	kallikrein-related peptidase 15	55554	ENSG00000174562	molecular function	endopeptidase activity	GO:0004175	0.0004
ADAMTSL4	ADAMTS-like 4	54507	ENSG00000143382	molecular function	endopeptidase activity	GO:0004175	0.0004
