symbol	name	entrez_id	ensemble_id	go_class	go_name	go_id	adjP
HMGA2	high mobility group AT-hook 2	8091	ENSG00000149948	biological process	peptide hormone secretion	GO:0030072	0.0025
CCNA2	cyclin A2	890	ENSG00000145386	biological process	positive regulation of gene expression	GO:0010628	0.0025
ATF1	activating transcription factor 1	466	ENSG00000123268	biological process	positive regulation of gene expression	GO:0010628	0.0025
HNF1B	HNF1 homeobox B	6928	ENSG00000108753	biological process	positive regulation of gene expression	GO:0010628	0.0025
RORA	RAR-related orphan receptor A	6095	ENSG00000069667	biological process	positive regulation of gene expression	GO:0010628	0.0025
TGFB2	transforming growth factor, beta 2	7042	ENSG00000092969	biological process	positive regulation of gene expression	GO:0010628	0.0025
POU5F1	POU class 5 homeobox 1	5460	ENSG00000204531	biological process	positive regulation of gene expression	GO:0010628	0.0025
CREB5	cAMP responsive element binding protein 5	9586	ENSG00000146592	biological process	positive regulation of gene expression	GO:0010628	0.0025
IRAK1	interleukin-1 receptor-associated kinase 1	3654	ENSG00000184216	biological process	positive regulation of gene expression	GO:0010628	0.0025
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	1050	ENSG00000245848	biological process	positive regulation of gene expression	GO:0010628	0.0025
CELA1	chymotrypsin-like elastase family, member 1	1990	ENSG00000139610	biological process	positive regulation of gene expression	GO:0010628	0.0025
LHX1	LIM homeobox 1	3975	ENSG00000132130	biological process	positive regulation of gene expression	GO:0010628	0.0025
TP53INP1	tumor protein p53 inducible nuclear protein 1	94241	ENSG00000164938	biological process	positive regulation of gene expression	GO:0010628	0.0025
MECP2	methyl CpG binding protein 2 (Rett syndrome)	4204	ENSG00000169057	biological process	positive regulation of gene expression	GO:0010628	0.0025
CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	1028	ENSG00000129757	biological process	positive regulation of gene expression	GO:0010628	0.0025
AVPR2	arginine vasopressin receptor 2	554	ENSG00000126895	biological process	positive regulation of gene expression	GO:0010628	0.0025
HMGA2	high mobility group AT-hook 2	8091	ENSG00000149948	biological process	positive regulation of gene expression	GO:0010628	0.0025
CSRNP2	cysteine-serine-rich nuclear protein 2	81566	ENSG00000110925	biological process	positive regulation of gene expression	GO:0010628	0.0025
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	4609	ENSG00000136997	biological process	positive regulation of gene expression	GO:0010628	0.0025
IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	3551	ENSG00000104365	biological process	positive regulation of gene expression	GO:0010628	0.0025
FBXW7	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase	55294	ENSG00000109670	biological process	positive regulation of gene expression	GO:0010628	0.0025
DLG4	discs, large homolog 4 (Drosophila)	1742	ENSG00000132535	biological process	positive regulation of gene expression	GO:0010628	0.0025
PROX1	prospero homeobox 1	5629	ENSG00000117707	biological process	positive regulation of gene expression	GO:0010628	0.0025
E2F3	E2F transcription factor 3	1871	ENSG00000112242	biological process	positive regulation of gene expression	GO:0010628	0.0025
GLP1R	glucagon-like peptide 1 receptor	2740	ENSG00000112164	biological process	positive regulation of gene expression	GO:0010628	0.0025
ALOX12	arachidonate 12-lipoxygenase	239	ENSG00000108839	biological process	positive regulation of gene expression	GO:0010628	0.0025
PPARG	peroxisome proliferator-activated receptor gamma	5468	ENSG00000132170	biological process	positive regulation of gene expression	GO:0010628	0.0025
AATF	apoptosis antagonizing transcription factor	26574	ENSG00000108270	biological process	positive regulation of gene expression	GO:0010628	0.0025
CDK8	cyclin-dependent kinase 8	1024	ENSG00000132964	biological process	positive regulation of gene expression	GO:0010628	0.0025
CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	10645	ENSG00000110931	biological process	positive regulation of gene expression	GO:0010628	0.0025
