symbol	name	entrez_id	ensemble_id	go_class	go_name	go_id	adjP
MEPE	matrix extracellular phosphoglycoprotein	56955	ENSG00000152595	biological process	skeletal system development	GO:0001501	1.02e-05
ACP2	acid phosphatase 2, lysosomal	53	ENSG00000134575	biological process	skeletal system development	GO:0001501	1.02e-05
HOXC9	homeobox C9	3225	ENSG00000180806	biological process	skeletal system development	GO:0001501	1.02e-05
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	skeletal system development	GO:0001501	1.02e-05
PKDCC	protein kinase domain containing, cytoplasmic homolog (mouse)	91461	ENSG00000162878	biological process	skeletal system development	GO:0001501	1.02e-05
FOXL1	forkhead box L1	2300	ENSG00000176678	biological process	skeletal system development	GO:0001501	1.02e-05
FOXC2	forkhead box C2 (MFH-1, mesenchyme forkhead 1)	2303	ENSG00000176692	biological process	skeletal system development	GO:0001501	1.02e-05
HOXC5	homeobox C5	3222	ENSG00000172789	biological process	skeletal system development	GO:0001501	1.02e-05
DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)	10522	ENSG00000177030	biological process	skeletal system development	GO:0001501	1.02e-05
AXIN1	axin 1	8312	ENSG00000103126	biological process	skeletal system development	GO:0001501	1.02e-05
DLX5	distal-less homeobox 5	1749	ENSG00000105880	biological process	skeletal system development	GO:0001501	1.02e-05
TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b	4982	ENSG00000164761	biological process	skeletal system development	GO:0001501	1.02e-05
RUNX1	runt-related transcription factor 1	861	ENSG00000159216	biological process	skeletal system development	GO:0001501	1.02e-05
HOXC4	homeobox C4	3221	ENSG00000198353	biological process	skeletal system development	GO:0001501	1.02e-05
FGFRL1	fibroblast growth factor receptor-like 1	53834	ENSG00000127418	biological process	skeletal system development	GO:0001501	1.02e-05
RARG	retinoic acid receptor, gamma	5916	ENSG00000172819	biological process	skeletal system development	GO:0001501	1.02e-05
MEF2C	myocyte enhancer factor 2C	4208	ENSG00000081189	biological process	skeletal system development	GO:0001501	1.02e-05
WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186	biological process	skeletal system development	GO:0001501	1.02e-05
SP1	Sp1 transcription factor	6667	ENSG00000185591	biological process	skeletal system development	GO:0001501	1.02e-05
SOX4	SRY (sex determining region Y)-box 4	6659	ENSG00000124766	biological process	skeletal system development	GO:0001501	1.02e-05
HOXC10	homeobox C10	3226	ENSG00000180818	biological process	skeletal system development	GO:0001501	1.02e-05
RUNX2	runt-related transcription factor 2	860	ENSG00000124813	biological process	skeletal system development	GO:0001501	1.02e-05
INSIG2	insulin induced gene 2	51141	ENSG00000125629	biological process	skeletal system development	GO:0001501	1.02e-05
SOX6	SRY (sex determining region Y)-box 6	55553	ENSG00000110693	biological process	skeletal system development	GO:0001501	1.02e-05
HOXC8	homeobox C8	3224	ENSG00000037965	biological process	skeletal system development	GO:0001501	1.02e-05
SOX9	SRY (sex determining region Y)-box 9	6662	ENSG00000125398	biological process	skeletal system development	GO:0001501	1.02e-05
SULF1	sulfatase 1	23213	ENSG00000137573	biological process	skeletal system development	GO:0001501	1.02e-05
COL11A1	collagen, type XI, alpha 1	1301	ENSG00000060718	biological process	skeletal system development	GO:0001501	1.02e-05
HOXC6	homeobox C6	3223	ENSG00000197757	biological process	skeletal system development	GO:0001501	1.02e-05
PTHLH	parathyroid hormone-like hormone	5744	ENSG00000087494	biological process	skeletal system development	GO:0001501	1.02e-05
EN1	engrailed homeobox 1	2019	ENSG00000163064	biological process	skeletal system development	GO:0001501	1.02e-05
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	1499	ENSG00000168036	biological process	skeletal system development	GO:0001501	1.02e-05
DLX6	distal-less homeobox 6	1750	ENSG00000006377	biological process	skeletal system development	GO:0001501	1.02e-05
HOXC11	homeobox C11	3227	ENSG00000123388	biological process	skeletal system development	GO:0001501	1.02e-05
DSPP	dentin sialophosphoprotein	1834	ENSG00000152591	biological process	skeletal system development	GO:0001501	1.02e-05
TIPARP	TCDD-inducible poly(ADP-ribose) polymerase	25976	ENSG00000163659	biological process	skeletal system development	GO:0001501	1.02e-05
IDUA	iduronidase, alpha-L-	3425	ENSG00000127415	biological process	skeletal system development	GO:0001501	1.02e-05
LTBP3	latent transforming growth factor beta binding protein 3	4054	ENSG00000168056	biological process	skeletal system development	GO:0001501	1.02e-05
