go_id	go_name	adjP	num_genes
GO:0001501	skeletal system development	1.05e-08	14
GO:0009952	anterior/posterior pattern specification	5.59e-05	8
GO:0001503	ossification	5.59e-05	9
GO:0003002	regionalization	7.93e-05	9
GO:0007389	pattern specification process	0.0001	10
GO:0016055	Wnt receptor signaling pathway	0.0004	8
GO:0009798	axis specification	0.0004	5
GO:0009790	embryo development	0.0004	13
GO:0007275	multicellular organismal development	0.0004	29
GO:0048568	embryonic organ development	0.0005	8
GO:0005488	binding	0.0015	52
GO:0031012	extracellular matrix	0.0215	7
GO:0044421	extracellular region part	0.0215	11
GO:0005578	proteinaceous extracellular matrix	0.0215	6
GO:0060090	binding, bridging	0.0365	4
GO:0005576	extracellular region	0.0506	15
GO:0005615	extracellular space	0.0745	8
GO:0043565	sequence-specific DNA binding	0.1247	7
GO:0005515	protein binding	0.1398	34
GO:0005102	receptor binding	0.1598	9
GO:0005198	structural molecule activity	0.1598	6
GO:0019904	protein domain specific binding	0.239	5
GO:0003677	DNA binding	0.2528	13
GO:0001071	nucleic acid binding transcription factor activity	0.2528	7
GO:0003700	sequence-specific DNA binding transcription factor activity	0.2528	7
GO:0005794	Golgi apparatus	1.0	5
GO:0042995	cell projection	1.0	4
GO:0044428	nuclear part	1.0	10
GO:0044459	plasma membrane part	1.0	5
GO:0043234	protein complex	1.0	12
