symbol	name	entrez_id	ensemble_id	go_class	go_name	go_id	adjP
MEPE	matrix extracellular phosphoglycoprotein	56955	ENSG00000152595	biological process	skeletal system development	GO:0001501	8.21e-05
SP1	Sp1 transcription factor	6667	ENSG00000185591	biological process	skeletal system development	GO:0001501	8.21e-05
IDUA	iduronidase, alpha-L-	3425	ENSG00000127415	biological process	skeletal system development	GO:0001501	8.21e-05
FGFRL1	fibroblast growth factor receptor-like 1	53834	ENSG00000127418	biological process	skeletal system development	GO:0001501	8.21e-05
HOXC4	homeobox C4	3221	ENSG00000198353	biological process	skeletal system development	GO:0001501	8.21e-05
TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b	4982	ENSG00000164761	biological process	skeletal system development	GO:0001501	8.21e-05
WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186	biological process	skeletal system development	GO:0001501	8.21e-05
AXIN1	axin 1	8312	ENSG00000103126	biological process	skeletal system development	GO:0001501	8.21e-05
TIPARP	TCDD-inducible poly(ADP-ribose) polymerase	25976	ENSG00000163659	biological process	skeletal system development	GO:0001501	8.21e-05
LTBP3	latent transforming growth factor beta binding protein 3	4054	ENSG00000168056	biological process	skeletal system development	GO:0001501	8.21e-05
HOXC6	homeobox C6	3223	ENSG00000197757	biological process	skeletal system development	GO:0001501	8.21e-05
PKDCC	protein kinase domain containing, cytoplasmic homolog (mouse)	91461	ENSG00000162878	biological process	skeletal system development	GO:0001501	8.21e-05
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	skeletal system development	GO:0001501	8.21e-05
HOXC9	homeobox C9	3225	ENSG00000180806	biological process	skeletal system development	GO:0001501	8.21e-05
HOXC8	homeobox C8	3224	ENSG00000037965	biological process	skeletal system development	GO:0001501	8.21e-05
HOXC5	homeobox C5	3222	ENSG00000172789	biological process	skeletal system development	GO:0001501	8.21e-05
HOXC8	homeobox C8	3224	ENSG00000037965	biological process	regionalization	GO:0003002	0.002
SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	6604	ENSG00000082014	biological process	regionalization	GO:0003002	0.002
HOXC9	homeobox C9	3225	ENSG00000180806	biological process	regionalization	GO:0003002	0.002
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	regionalization	GO:0003002	0.002
WNT16	wingless-type MMTV integration site family, member 16	51384	ENSG00000002745	biological process	regionalization	GO:0003002	0.002
WNT3	wingless-type MMTV integration site family, member 3	7473	ENSG00000108379	biological process	regionalization	GO:0003002	0.002
HOXC6	homeobox C6	3223	ENSG00000197757	biological process	regionalization	GO:0003002	0.002
AXIN1	axin 1	8312	ENSG00000103126	biological process	regionalization	GO:0003002	0.002
HOXC4	homeobox C4	3221	ENSG00000198353	biological process	regionalization	GO:0003002	0.002
WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186	biological process	regionalization	GO:0003002	0.002
LRP4	low density lipoprotein receptor-related protein 4	4038	ENSG00000134569	biological process	regionalization	GO:0003002	0.002
HOXC6	homeobox C6	3223	ENSG00000197757	biological process	anterior/posterior pattern specification	GO:0009952	0.002
WNT16	wingless-type MMTV integration site family, member 16	51384	ENSG00000002745	biological process	anterior/posterior pattern specification	GO:0009952	0.002
WNT3	wingless-type MMTV integration site family, member 3	7473	ENSG00000108379	biological process	anterior/posterior pattern specification	GO:0009952	0.002
HOXC4	homeobox C4	3221	ENSG00000198353	biological process	anterior/posterior pattern specification	GO:0009952	0.002
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	anterior/posterior pattern specification	GO:0009952	0.002
HOXC9	homeobox C9	3225	ENSG00000180806	biological process	anterior/posterior pattern specification	GO:0009952	0.002
HOXC8	homeobox C8	3224	ENSG00000037965	biological process	anterior/posterior pattern specification	GO:0009952	0.002
AXIN1	axin 1	8312	ENSG00000103126	biological process	anterior/posterior pattern specification	GO:0009952	0.002
WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186	biological process	anterior/posterior pattern specification	GO:0009952	0.002
HOXC5	homeobox C5	3222	ENSG00000172789	biological process	anterior/posterior pattern specification	GO:0009952	0.002
HOXC5	homeobox C5	3222	ENSG00000172789	biological process	regionalization	GO:0003002	0.002
WNT16	wingless-type MMTV integration site family, member 16	51384	ENSG00000002745	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.003
WNT3	wingless-type MMTV integration site family, member 3	7473	ENSG00000108379	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.003
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.003
AXIN1	axin 1	8312	ENSG00000103126	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.003
LRP4	low density lipoprotein receptor-related protein 4	4038	ENSG00000134569	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.003
SFRP4	secreted frizzled-related protein 4	6424	ENSG00000106483	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.003
LGR4	leucine-rich repeat containing G protein-coupled receptor 4	55366	ENSG00000205213	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.003
PFDN5	prefoldin subunit 5	5204	ENSG00000123349	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.003
WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.003
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	dorsal/ventral axis specification	GO:0009950	0.0034
WNT3	wingless-type MMTV integration site family, member 3	7473	ENSG00000108379	biological process	dorsal/ventral axis specification	GO:0009950	0.0034
WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186	biological process	dorsal/ventral axis specification	GO:0009950	0.0034
AXIN1	axin 1	8312	ENSG00000103126	biological process	dorsal/ventral axis specification	GO:0009950	0.0034
AXIN1	axin 1	8312	ENSG00000103126	biological process	organ morphogenesis	GO:0009887	0.0078
TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b	4982	ENSG00000164761	biological process	organ morphogenesis	GO:0009887	0.0078
HOXC4	homeobox C4	3221	ENSG00000198353	biological process	organ morphogenesis	GO:0009887	0.0078
WNT3	wingless-type MMTV integration site family, member 3	7473	ENSG00000108379	biological process	organ morphogenesis	GO:0009887	0.0078
SP1	Sp1 transcription factor	6667	ENSG00000185591	biological process	organ morphogenesis	GO:0009887	0.0078
TIPARP	TCDD-inducible poly(ADP-ribose) polymerase	25976	ENSG00000163659	biological process	organ morphogenesis	GO:0009887	0.0078
IDUA	iduronidase, alpha-L-	3425	ENSG00000127415	biological process	organ morphogenesis	GO:0009887	0.0078
LTBP3	latent transforming growth factor beta binding protein 3	4054	ENSG00000168056	biological process	organ morphogenesis	GO:0009887	0.0078
WNT16	wingless-type MMTV integration site family, member 16	51384	ENSG00000002745	biological process	organ morphogenesis	GO:0009887	0.0078
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	organ morphogenesis	GO:0009887	0.0078
FGFRL1	fibroblast growth factor receptor-like 1	53834	ENSG00000127418	biological process	organ morphogenesis	GO:0009887	0.0078
SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	6604	ENSG00000082014	biological process	organ morphogenesis	GO:0009887	0.0078
LRP4	low density lipoprotein receptor-related protein 4	4038	ENSG00000134569	biological process	organ morphogenesis	GO:0009887	0.0078
HOXC8	homeobox C8	3224	ENSG00000037965	biological process	organ morphogenesis	GO:0009887	0.0078
LGR4	leucine-rich repeat containing G protein-coupled receptor 4	55366	ENSG00000205213	biological process	organ morphogenesis	GO:0009887	0.0078
BDNF	brain-derived neurotrophic factor	627	ENSG00000176697	biological process	organ morphogenesis	GO:0009887	0.0078
BCR	breakpoint cluster region	613	ENSG00000186716	biological process	organ morphogenesis	GO:0009887	0.0078
SP1	Sp1 transcription factor	6667	ENSG00000185591	biological process	embryonic eye morphogenesis	GO:0048048	0.0078
HOXC9	homeobox C9	3225	ENSG00000180806	biological process	organ morphogenesis	GO:0009887	0.0078
AXIN1	axin 1	8312	ENSG00000103126	biological process	embryonic eye morphogenesis	GO:0048048	0.0078
WNT16	wingless-type MMTV integration site family, member 16	51384	ENSG00000002745	biological process	embryonic eye morphogenesis	GO:0048048	0.0078
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	embryonic eye morphogenesis	GO:0048048	0.0078
WNT16	wingless-type MMTV integration site family, member 16	51384	ENSG00000002745	biological process	Wnt receptor signaling pathway	GO:0016055	0.0136
WNT3	wingless-type MMTV integration site family, member 3	7473	ENSG00000108379	biological process	Wnt receptor signaling pathway	GO:0016055	0.0136
HIC1	hypermethylated in cancer 1	3090	ENSG00000177374	biological process	Wnt receptor signaling pathway	GO:0016055	0.0136
