geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	http://amigo.geneontology.org/amigo/term/GO:0061844	67	12	2.3477739109564384	5.11122469842568	3.1545832643864458e-6	0.0119325269060786	354;2919;2920;2921;4316;5196;5197;5473;5650;6372;6374;25818	MMP7;KLK3;KLK5;KLK7;CXCL6;PF4V1;CXCL1;PF4;PPBP;CXCL5;CXCL3;CXCL2
GO:0006959	humoral immune response	http://amigo.geneontology.org/amigo/term/GO:0006959	242	24	8.48001920076803	2.830182271029096	4.673801064170036e-6	0.0119325269060786	354;629;717;720;2919;2920;2921;3119;3133;4049;4316;5133;5196;5197;5245;5473;5650;6372;6374;7124;7942;25818;54209;54210	MMP7;PHB;KLK3;KLK5;KLK7;PDCD1;CXCL6;PF4V1;CXCL1;PF4;PPBP;CXCL5;CXCL3;CXCL2;HLA-E;LTA;TNF;C2;CFB;C4A;HLA-DQB1;TREM2;TREM1;TFEB
GO:0002478	antigen processing and presentation of exogenous peptide antigen	http://amigo.geneontology.org/amigo/term/GO:0002478	121	16	4.240009600384015	3.7735763613721276	4.985061468509855e-6	0.0119325269060786	164;1520;3109;3112;3117;3118;3119;3120;3122;3123;3127;3133;6890;6891;8673;24137	CTSS;AP1G1;VAMP8;HLA-E;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;HLA-DQB2;HLA-DOB;TAP2;TAP1;HLA-DMB;KIF4A
GO:0048002	antigen processing and presentation of peptide antigen	http://amigo.geneontology.org/amigo/term/GO:0048002	135	17	4.730589223568943	3.59363267376966	4.990600964482894e-6	0.0119325269060786	164;1520;3109;3112;3117;3118;3119;3120;3122;3123;3127;3133;6890;6891;8673;24137;54209	CTSS;AP1G1;VAMP8;HLA-E;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;HLA-DQB2;HLA-DOB;TAP2;TAP1;HLA-DMB;TREM2;KIF4A
GO:0019884	antigen processing and presentation of exogenous antigen	http://amigo.geneontology.org/amigo/term/GO:0019884	129	16	4.520340813632545	3.539556121907189	1.1464734850585856e-5	0.019520788183434945	164;1520;3109;3112;3117;3118;3119;3120;3122;3123;3127;3133;6890;6891;8673;24137	CTSS;AP1G1;VAMP8;HLA-E;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;HLA-DQB2;HLA-DOB;TAP2;TAP1;HLA-DMB;KIF4A
GO:0022617	extracellular matrix disassembly	http://amigo.geneontology.org/amigo/term/GO:0022617	76	12	2.6631465258610345	4.505948089401586	1.224641667718629e-5	0.019520788183434945	780;822;1513;1520;3817;4316;5650;8751;9313;9622;10211;25818	CTSS;CTSK;ADAM15;MMP7;MMP20;KLK2;KLK4;KLK5;KLK7;CAPG;FLOT1;DDR1
GO:0019882	antigen processing and presentation	http://amigo.geneontology.org/amigo/term/GO:0019882	171	18	5.9920796831873275	3.003965392934391	3.2369446245961164e-5	0.037355953496080396	164;1520;3109;3112;3117;3118;3119;3120;3122;3123;3127;3133;5696;6890;6891;8673;24137;54209	CTSS;AP1G1;VAMP8;HLA-E;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;HLA-DQB2;HLA-DOB;TAP2;PSMB8;TAP1;HLA-DMB;TREM2;KIF4A
GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	http://amigo.geneontology.org/amigo/term/GO:0002495	100	13	3.5041401656066244	3.7098972602739724	4.5676699589103364e-5	0.037355953496080396	164;1520;3109;3112;3117;3118;3119;3120;3122;3123;3127;24137;54209	CTSS;AP1G1;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;HLA-DQB2;HLA-DOB;HLA-DMB;TREM2;KIF4A
GO:0060602	branch elongation of an epithelium	http://amigo.geneontology.org/amigo/term/GO:0060602	20	6	0.7008280331213248	8.561301369863015	4.594633949439597e-5	0.037355953496080396	2255;6495;6662;6928;10413;51804	YAP1;SIX1;SIX4;HNF1B;SOX9;FGF10
GO:0002775	antimicrobial peptide production	http://amigo.geneontology.org/amigo/term/GO:0002775	7	4	0.2452898115924637	16.307240704500977	4.800925816017543e-5	0.037355953496080396	354;4316;5650;25818	MMP7;KLK3;KLK5;KLK7
GO:0002778	antibacterial peptide production	http://amigo.geneontology.org/amigo/term/GO:0002778	7	4	0.2452898115924637	16.307240704500977	4.800925816017543e-5	0.037355953496080396	354;4316;5650;25818	MMP7;KLK3;KLK5;KLK7
GO:0061458	reproductive system development	http://amigo.geneontology.org/amigo/term/GO:0061458	428	32	14.997719908796352	2.133657662271156	4.895825250994523e-5	0.037355953496080396	174;329;367;405;595;638;658;666;677;1747;2255;2309;2624;2705;3975;4142;4188;4726;4824;5245;6662;7421;7942;8031;8614;8751;10653;51804;55585;56159;79893;151449	ARNT;UBE2Q1;ADAM15;NCOA4;CCND1;BIRC2;VDR;SIX4;ZFP36L1;GGNBP2;LHX1;PHB;DLX3;SOX9;SPINT2;GDF7;BOK;BIK;GATA2;AFP;BMPR1B;NDUFS6;FGF10;STC2;MDFI;TFEB;FOXO3;MAS1;NKX3-1;AR;TEX11;GJB1
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	http://amigo.geneontology.org/amigo/term/GO:0002504	101	13	3.5391815672626907	3.673165604231656	5.077659927321676e-5	0.037355953496080396	164;1520;3109;3112;3117;3118;3119;3120;3122;3123;3127;24137;54209	CTSS;AP1G1;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;HLA-DQB2;HLA-DOB;HLA-DMB;TREM2;KIF4A
GO:0030574	collagen catabolic process	http://amigo.geneontology.org/amigo/term/GO:0030574	41	8	1.4366974678987159	5.568326094219847	7.446237585317927e-5	0.047240453342306005	1513;1520;4316;5653;8751;9313;9508;64066	CTSS;CTSK;ADAM15;MMP7;MMP20;MMP27;KLK6;ADAMTS3
GO:0048754	branching morphogenesis of an epithelial tube	http://amigo.geneontology.org/amigo/term/GO:0048754	150	16	5.2562102484099364	3.0440182648401826	7.485637571458259e-5	0.047240453342306005	367;780;2255;3975;4609;4824;4855;6495;6662;6928;7124;7421;10413;51804;63943;151449	YAP1;VDR;SIX1;SIX4;LHX1;HNF1B;SOX9;GDF7;FGF10;DDR1;TNF;FKBPL;NOTCH4;NKX3-1;MYC;AR
GO:0003401	axis elongation	http://amigo.geneontology.org/amigo/term/GO:0003401	31	7	1.0862834513380535	6.4439902783915155	7.903045310297951e-5	0.047240453342306005	2255;6495;6662;6928;9968;10413;51804	YAP1;SIX1;SIX4;HNF1B;SOX9;FGF10;MED12
